,model__gamma,model__learning_rate,model__max_depth,model__n_estimators,model__objective,score,train_score,train_test_diff
0,7.712664794512572,0.03407495766124821,5,930,count:poisson,-0.007297951774882804,-0.007205707823905098,9.224395097770597e-05
1,2.832714777417903e-08,0.020619205362856434,5,827,count:poisson,-0.006748573455447248,-0.006220063039371319,0.0005285104160759292
2,0.0066992744099294245,0.08003558912670991,7,925,count:poisson,-0.007877360735106923,0.004675431417509183,0.012552792152616107
3,0.4263228931820334,0.09979061925610859,5,715,count:poisson,-0.006867161371237082,-0.005345188931597115,0.0015219724396399667
4,0.0059408691366223225,0.46017558067627706,6,556,count:poisson,-0.009884316274198878,0.012681881918511976,0.022566198192710853
5,1.155906904157045e-08,0.3710763634134302,4,57,count:poisson,-0.006866578665630961,-0.006461809471405659,0.0004047691942253018
6,0.00018996076674852115,0.14195310383186965,2,95,count:poisson,-0.006601211815790933,-0.006563137322941189,3.807449284974444e-05
7,0.040778725340806565,0.2175931656654558,8,200,count:poisson,-0.007683862746615944,0.0034620518626491403,0.011145914609265084
8,9.720530291565445e-08,0.4815048389543236,4,936,count:poisson,-0.007723191922223025,0.0011514197534946795,0.008874611675717705
9,1.6381534931599133,0.4457228029570425,7,415,count:poisson,-0.006872292105774979,-0.005920097765996409,0.0009521943397785707
10,1e-08,0.17094007877264017,5,19,count:poisson,-0.7356190324111938,-0.7353679249527065,0.0002511074584872208
11,0.031088653822819844,0.07707569287342131,2,713,count:poisson,-0.0068348992760038025,-0.006646141670730114,0.00018875760527368828
12,0.000688263868558122,0.1383680930978989,2,92,count:poisson,-0.006189249852516642,-0.0061532855139558125,3.596433856082985e-05
13,0.004279897001629566,0.24080996082916883,8,258,count:poisson,-0.00845236058530753,0.007944791662314618,0.01639715224762215
14,8.76729724936467e-07,0.40690557878407746,4,921,count:poisson,-0.007740597973180042,0.00038826092575772186,0.008128858898937764
15,1000.0,0.09991929411590203,6,910,count:poisson,-0.00828968238867945,-0.008289674505290945,7.883388504492661e-09
16,1e-08,0.09487718400488213,2,10,count:poisson,-8.268109142563752,-8.267817493144301,0.0002916494194504793
17,1.0197789139241187e-05,0.005,5,1000,count:poisson,-0.09469837906803198,-0.09432869867715521,0.0003696803908767726
18,1e-08,0.005,8,1000,count:poisson,-0.09469308262046641,-0.09415128638311532,0.0005417962373510943
19,1000.0,0.21047375689083775,3,10,count:poisson,-2.4936633717913392,-2.4935740908344237,8.928095691551619e-05
20,1000.0,0.005,8,1000,count:poisson,-0.0933944618795257,-0.09338970414964327,4.757729882426398e-06
21,25.356326107054013,0.49835083222287535,5,771,count:poisson,-0.0074845795285418066,-0.007432707612744431,5.187191579737564e-05
22,784.736065390715,0.343718584254913,6,971,count:poisson,-0.00828968635732331,-0.008289678470386086,7.88693722483802e-09
23,3.4348665326402816e-07,0.04824927746956991,7,1000,count:poisson,-0.0073556476872071105,0.00047740314264288486,0.007833050829849995
24,0.0013340538665535492,0.12910735206545523,3,1000,count:poisson,-0.006913384219255527,-0.005568019990642936,0.0013453642286125906
25,4.417885208178652e-06,0.05721858567414129,8,1000,count:poisson,-0.008190331398243808,0.006715925095699478,0.014906256493943285
26,0.003489004544944118,0.5,4,10,count:poisson,-0.09413524592237299,-0.09390916958157747,0.0002260763407955224
27,4.209558006128916,0.005,6,10,count:poisson,-20.638087231795545,-20.6373922337163,0.0006949980792434474
28,1e-08,0.23447926760649135,2,716,count:poisson,-0.006840130949038107,-0.006456924707625822,0.0003832062414122848
29,1e-08,0.3419295712244868,8,516,count:poisson,-0.011525773657888793,0.022252641041395682,0.03377841469928448
30,1e-08,0.1617668685169996,2,390,count:poisson,-0.006833272715950683,-0.006620611131771925,0.00021266158417875772
31,1000.0,0.24449303583759477,8,1000,count:poisson,-0.008289684474643313,-0.0082896765878638,7.886779512453201e-09
32,1000.0,0.4346096788201945,8,10,count:poisson,-0.20902444279265014,-0.20901516369101247,9.279101637671427e-06
33,0.000534595158198252,0.14894595648221653,3,115,count:poisson,-0.007019441276209216,-0.00686433076467341,0.00015511051153580587
34,1000.0,0.19119261846373697,8,1000,count:poisson,-0.008289685214886022,-0.00828967732672307,7.88816295269057e-09
35,0.004760971543568203,0.21818794108645073,8,226,count:poisson,-0.008007633077378883,0.005488615758764655,0.013496248836143539
36,0.0007040516657031057,0.14372674740396305,3,104,count:poisson,-0.006814023222359375,-0.006683452374132519,0.00013057084822685593
37,0.006096632163372993,0.07779535449319071,2,744,count:poisson,-0.006835719169968983,-0.006639812669921123,0.00019590650004785992
38,0.0007258616928162638,0.14337461398786794,2,104,count:poisson,-0.0070431768871458975,-0.006996323901514205,4.685298563169259e-05
39,3.4961363741257867,0.31020572168778254,8,10,count:poisson,-0.8584743242362423,-0.8584415557011633,3.276853507894195e-05
40,1e-08,0.5,8,349,count:poisson,-0.012092769098358611,0.02285300320579209,0.0349457723041507
41,0.048466016626102,0.15744933191616411,8,184,count:poisson,-0.007297079892881268,-0.0005219673156102352,0.006775112577271033
42,1.749605370161354e-05,0.023378031053287698,5,853,count:poisson,-0.00683365581352991,-0.0061588296488485446,0.0006748261646813657
43,3.951450903286827e-07,0.23692368967786787,3,760,count:poisson,-0.00692248479448431,-0.005161827166032899,0.0017606576284514112
44,6.829755983359018e-05,0.14937491927258087,2,442,count:poisson,-0.006833080100398779,-0.006614402875124492,0.00021867722527428666
45,0.020028911827268885,0.26112604091224023,8,287,count:poisson,-0.008916862863025449,0.010713223032437713,0.01963008589546316
